,Mercer ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,KeKe Calloway,8,26,3,12,5,14,0,0,0,4,5,3,0,2,2,21,0.0,2.5
1,Amanda Thompson,9,16,9,15,0,1,0,0,3,4,2,6,0,1,4,18,0.0,2.0
2,Rachel Selph,4,12,4,12,0,0,0,0,5,3,1,0,0,0,1,8,0.0,0.0
3,Linnea Rosendal,1,9,1,3,0,6,0,0,1,1,5,3,0,0,1,2,0.0,0.0
4,Shannon Titus,4,13,4,13,0,0,0,0,2,0,0,3,2,0,5,8,0.0,0.0
9,School Totals,28,80,23,59,5,21,0,0,12,15,18,17,2,3,16,61,0.0,6.0
