,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,5,15,3,6,2,9,8,8,0,1,4,1,0,4,4,20,0.5333333333333333,1.0
1,Asia Doss,2,11,2,6,0,5,0,0,0,3,3,0,0,2,1,4,0.0,1.5
2,Ameryst Alston,8,19,3,7,5,12,0,2,0,1,3,3,0,0,4,21,0.0,0.0
3,Alexa Hart,1,7,1,7,0,0,0,0,3,3,0,1,2,0,3,2,0.0,0.0
4,Shayla Cooper,2,9,1,5,1,4,0,0,2,6,0,6,0,0,3,5,0.0,0.0
8,School Totals,22,67,14,37,8,30,10,13,8,16,10,12,3,7,20,62,0.14925373134328357,1.4285714285714286
