,Mercer ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shannon Titus,3,14,3,14,0,0,6,8,3,2,0,5,0,2,3,12,0.42857142857142855,0.0
1,Erin Houpt,3,6,2,2,1,4,1,2,0,2,0,0,0,1,2,8,0.16666666666666666,0.0
2,Allie Thayne,0,1,0,1,0,0,2,2,2,0,0,0,0,0,2,2,2.0,0.0
3,Jaron Dougherty,1,10,0,7,1,3,0,0,0,1,1,1,0,5,2,3,0.0,0.2
4,Amoria Neal-Tysor,2,10,2,7,0,3,0,0,0,0,0,0,0,1,0,4,0.0,0.0
13,School Totals,13,56,10,44,3,12,9,14,8,20,4,8,2,18,18,38,0.16071428571428573,0.2222222222222222
