,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Owusu,9,14,8,13,1,1,3,4,4,4,7,0,0,2,2,22,0.21428571428571427,3.5
1,Katie Benzan,2,3,1,1,1,2,0,0,0,2,4,1,0,0,0,5,0.0,0.0
2,Chloe Bibby,4,10,3,7,1,3,2,3,4,7,0,2,2,0,2,11,0.2,0.0
3,Mimi Collins,3,6,3,5,0,1,6,6,1,4,0,1,0,3,1,12,1.0,0.0
4,Diamond Miller,7,11,6,8,1,3,4,4,0,3,2,1,1,2,1,19,0.36363636363636365,1.0
10,School Totals,34,65,29,52,5,13,25,30,17,30,21,10,4,10,10,98,0.38461538461538464,2.1
