,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sunny Greinacher,5,15,4,14,1,1,8,9,2,6,0,2,2,4,2,19,0.5333333333333333,0.0
1,Keani Albanez,5,7,3,3,2,4,7,8,0,2,3,4,0,3,2,19,1.0,1.0
2,Elle Tinkle,2,7,0,3,2,4,5,7,1,3,1,1,0,2,4,11,0.7142857142857143,0.5
3,Georgia Stirton,3,5,2,4,1,1,0,0,0,5,2,0,0,1,3,7,0.0,2.0
4,Shelby Cheslek,1,2,1,2,0,0,1,2,2,3,0,0,2,1,4,3,0.5,0.0
10,School Totals,22,52,13,34,9,18,29,34,9,27,16,10,7,16,25,82,0.5576923076923077,1.0
