,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
783,Green Bay ,23,70,13,34,10,36,6,7,18,9,14,11,5,11,25,62,0.0857142857142857,1.2727272727272727,2010,9,24,4,7,5,17,2,3,9,3,7,5,3,4,5,23,0.1333333333333333,2.0,544,Princeton ,29,63,25,46,4,17,8,10,10,16,11,9,2,8,13,70,0.1269841269841269,1.375,10,18,8,11,2,7,4,4,3,5,6,3,1,3,4,26,1.0,3.0,False,663
784,Purdue ,30,68,25,53,5,15,17,21,10,25,20,5,5,11,16,82,0.25,1.818181818181818,2010,7,19,6,13,2,8,7,9,3,6,10,2,2,3,5,23,0.6363636363636364,3.333333333333333,543,Tennessee ,27,67,22,54,5,13,18,24,16,25,17,5,3,13,13,77,0.2686567164179104,1.3076923076923077,8,17,8,17,2,6,6,8,10,10,4,2,1,3,4,21,0.5,2.0,True,663
785,Notre Dame ,34,72,28,60,6,12,14,17,12,26,21,9,3,9,18,88,0.1944444444444444,2.333333333333333,2010,7,16,6,16,3,5,8,8,5,5,8,2,1,2,5,21,0.5333333333333333,2.0,542,Pittsburgh ,25,58,21,45,4,13,13,19,9,18,8,8,6,11,19,67,0.2241379310344827,0.7272727272727273,11,24,10,21,1,5,9,13,3,6,4,3,5,6,5,32,0.375,0.3333333333333333,True,663
786,Quinnipiac ,28,53,25,40,3,13,9,14,3,23,20,8,4,11,14,68,0.1698113207547169,1.818181818181818,2010,9,16,8,11,1,5,5,6,0,6,4,4,2,4,3,20,0.8333333333333334,3.0,541,Chattanooga ,17,65,13,42,4,23,2,3,13,18,6,4,3,8,11,40,0.0307692307692307,0.75,5,14,5,13,1,9,2,2,6,6,2,2,3,2,5,10,0.4,2.0,True,663
787,Marquette ,25,58,21,47,4,11,11,13,9,21,14,6,0,13,14,65,0.1896551724137931,1.0769230769230769,2010,7,15,7,14,3,5,7,9,3,6,3,2,0,4,4,21,0.5833333333333334,1.0,540,Pittsburgh ,19,43,18,34,1,9,12,15,4,30,12,5,6,14,11,51,0.2790697674418604,0.8571428571428571,5,12,5,10,1,2,6,7,3,10,4,1,3,3,3,16,0.5,1.5,True,663
788,Quinnipiac ,28,60,13,34,15,26,14,20,7,23,24,6,5,13,23,85,0.2333333333333333,1.8461538461538465,2010,5,8,5,8,3,4,5,6,2,9,7,2,1,5,4,15,0.625,2.333333333333333,539,Florida Gulf Coast ,28,62,17,30,11,32,8,14,5,26,13,6,2,7,14,75,0.1290322580645161,1.8571428571428568,10,20,8,12,3,12,4,7,2,10,4,2,2,4,4,26,1.0,4.0,True,663
789,Miami ,27,64,22,53,5,11,19,27,10,22,14,8,5,11,20,78,0.296875,1.2727272727272727,2010,8,18,8,14,3,4,6,8,4,5,4,2,2,2,5,25,0.5,4.0,538,Oklahoma State ,23,62,15,47,8,15,13,14,10,31,10,3,2,14,11,67,0.2096774193548387,0.7142857142857143,8,16,4,11,5,8,5,6,4,11,4,1,2,4,3,23,0.4545454545454545,3.0,True,663
790,Quinnipiac ,22,51,16,38,6,13,8,10,3,12,11,6,2,17,18,58,0.1568627450980392,0.6470588235294118,2010,5,11,4,8,2,3,3,4,1,4,6,4,0,6,4,12,0.3333333333333333,3.0,537,Stanford ,24,46,16,29,8,17,30,38,8,29,10,5,7,19,21,86,0.6521739130434783,0.5263157894736842,11,18,10,17,3,9,8,11,3,8,4,2,2,6,4,24,1.0,1.0,False,663
791,South Carolina ,36,59,26,43,10,16,18,19,8,25,21,8,4,12,12,100,0.3050847457627119,1.75,2010,9,15,8,12,5,6,10,10,2,6,3,3,2,4,3,28,1.1111111111111112,3.0,536,Oklahoma ,28,72,22,49,6,23,14,19,14,20,11,9,1,12,28,76,0.1944444444444444,0.9166666666666666,9,18,9,16,2,6,4,8,7,4,5,4,1,4,5,22,0.3333333333333333,1.5,True,663
792,Robert Morris ,17,64,10,40,7,24,8,8,7,14,7,8,1,9,14,49,0.125,0.7777777777777778,2010,6,20,4,9,5,11,2,2,3,3,3,2,1,4,3,19,0.25,1.0,535,North Carolina ,34,73,26,56,8,17,10,16,12,30,19,6,4,16,19,86,0.136986301369863,1.1875,13,18,13,18,5,7,4,5,4,10,5,4,4,4,4,27,0.2666666666666666,2.5,False,663
