,Middle Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anastasia Hayes,9,25,7,20,2,5,6,7,0,2,5,3,0,5,1,26,0.24,1.0
1,Aislynn Hayes,6,16,3,7,3,9,0,0,0,3,2,1,0,0,4,15,0.0,0.0
2,Courtney Whitson,2,10,0,3,2,7,0,0,1,3,2,1,0,3,3,6,0.0,0.6666666666666666
3,Deja Cage,2,7,0,2,2,5,0,0,0,2,0,2,0,2,3,6,0.0,0.0
4,Alexis Whittington,3,9,2,2,1,7,0,0,1,1,3,0,0,1,2,7,0.0,3.0
8,School Totals,23,68,13,35,10,33,6,7,4,11,12,7,0,11,17,62,0.08823529411764706,1.0909090909090908
