,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aerial Powers,5,13,4,10,1,3,3,4,2,7,5,5,0,6,3,14,0.23076923076923078,0.8333333333333334
1,Branndais Agee,6,8,4,5,2,3,7,10,0,3,0,0,0,3,4,21,0.875,0.0
2,Tori Jankoska,5,14,2,9,3,5,4,4,2,3,3,0,1,3,4,17,0.2857142857142857,1.0
3,Jasmine Hines,4,6,4,6,0,0,7,9,3,2,0,0,0,1,4,15,1.1666666666666667,0.0
4,Morgan Green,0,2,0,2,0,0,1,2,0,3,0,1,0,3,2,1,0.5,0.0
10,School Totals,21,47,15,36,6,11,24,31,9,22,11,8,2,19,26,72,0.5106382978723404,0.5789473684210527
