,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Vivians,8,22,3,8,5,14,3,6,1,4,2,3,0,3,4,24,0.13636363636363635,0.6666666666666666
1,Dominique Dillingham,3,8,3,8,0,0,0,0,2,3,1,2,0,2,5,6,0.0,0.5
2,Morgan William,3,9,2,6,1,3,7,8,4,2,9,2,0,5,3,14,0.7777777777777778,1.8
3,Ketara Chapel,3,3,3,3,0,0,2,2,3,2,0,1,0,1,0,8,0.6666666666666666,0.0
4,Chinwe Okorie,0,3,0,3,0,0,4,6,1,0,0,0,1,1,5,4,1.3333333333333333,0.0
10,School Totals,23,60,16,39,7,21,21,28,13,19,12,10,4,16,25,74,0.35,0.75
