,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jantel Lavender,10,14,10,14,0,0,1,2,1,10,1,1,1,3,2,21,0.07142857142857142,0.3333333333333333
1,Ashley Adams,4,8,4,8,0,0,2,2,1,4,1,0,5,1,1,10,0.25,1.0
2,Samantha Prahalis,5,7,5,5,0,2,6,7,0,3,8,4,0,6,4,16,0.8571428571428571,1.3333333333333333
3,Tayler Hill,3,6,3,4,0,2,5,7,1,0,5,0,0,5,0,11,0.8333333333333334,1.0
4,Brittany Johnson,3,6,0,0,3,6,0,0,0,3,0,1,0,4,0,9,0.0,0.0
6,School Totals,25,42,22,32,3,10,14,18,3,21,15,7,6,20,8,67,0.3333333333333333,0.75
