,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kristen McCarthy,27,.100,.100,.500,.000,3.2,14.1,6.6,0.0,2.2,0.0,9.1,20.9,23,140
1,Jasmine Stone,26,.391,.375,.000,.250,10.0,36.6,18.4,32.8,0.0,0.0,18.4,21.5,75,140
2,Marli Bennett,24,.503,.500,.500,.250,7.2,7.9,7.5,0.0,2.5,0.0,18.4,23.3,82,141
3,LaKeisha Eaddy,21,.000,.000,.500,.000,0.0,9.1,2.8,27.2,5.7,0.0,33.3,14.7,13,134
4,Kristie Watkins-Day,20,.500,.500,.500,.000,0.0,0.0,0.0,16.7,9.0,0.0,50.0,10.3,51,128
6,Qwedia Wallace,31,.326,.324,.471,.176,5.6,6.1,5.8,0.0,1.9,0.0,5.2,32.0,68,143
7,B.J. Williams,24,.000,.000,.667,.000,0.0,15.9,5.0,35.7,7.5,0.0,25.0,17.1,15,128
8,Natasha Thames,16,1.000,1.000,.000,.000,5.4,0.0,3.7,55.6,3.7,0.0,0.0,6.4,207,140
9,Victoria Macaulay,11,.000,.000,.000,.667,23.7,0.0,16.3,0.0,0.0,0.0,34.0,27.4,11,149
10,School Totals,200,.280,.275,.400,.150,26.1,57.1,35.8,71.4,17.9,0.0,17.9,100.0,53.7,134.3
