,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aliyyah Handford,9,19,9,19,0,0,5,8,1,3,1,0,0,3,3,23,0.2631578947368421,0.3333333333333333
1,Amber Thompson,3,6,3,6,0,0,0,0,3,6,2,2,0,0,3,6,0.0,0.0
2,Danaejah Grant,1,7,0,6,1,1,4,4,2,3,5,2,0,1,3,7,0.5714285714285714,5.0
3,Eugeneia McPherson,0,1,0,0,0,1,1,4,0,1,3,0,0,3,2,1,1.0,1.0
4,Briana Brown,1,7,0,4,1,3,0,0,3,3,1,0,0,2,3,3,0.0,0.5
10,School Totals,19,54,16,44,3,10,10,19,12,22,16,6,1,16,23,51,0.18518518518518517,1.0
