,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andraya Carter,2,7,2,6,0,1,3,4,1,1,2,4,1,2,2,7,0.42857142857142855,1.0
1,Cierra Burdick,10,14,9,13,1,1,0,2,5,6,0,0,0,3,1,21,0.0,0.0
2,Isabelle Harrison,4,9,4,9,0,0,2,5,3,8,3,1,1,2,3,10,0.2222222222222222,1.5
3,Meighan Simmons,5,13,4,11,1,2,6,6,0,1,1,2,0,1,3,17,0.46153846153846156,1.0
4,Bashaara Graves,1,1,1,1,0,0,3,4,1,3,0,1,1,1,3,5,3.0,0.0
9,School Totals,24,53,22,49,2,4,17,25,12,28,10,11,4,15,16,67,0.32075471698113206,0.6666666666666666
