,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,6,14,4,7,2,7,4,5,0,0,6,0,0,0,4,18,0.2857142857142857,0.0
1,Shayla Cooper,4,13,3,9,1,4,0,0,3,10,4,1,0,4,2,9,0.0,1.0
2,Tori McCoy,4,8,4,8,0,0,0,0,2,0,1,1,0,1,3,8,0.0,1.0
3,Sierra Calhoun,3,8,2,3,1,5,0,0,1,0,1,0,1,1,1,7,0.0,1.0
4,Kiara Lewis,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0
10,School Totals,30,71,21,47,9,24,7,10,8,19,23,4,2,12,17,76,0.09859154929577464,1.9166666666666667
