,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsay Allen,5,10,5,9,0,1,6,6,0,2,10,2,0,3,1,16,0.6,3.3333333333333335
1,Arike Ogunbowale,11,22,7,15,4,7,6,7,0,9,1,0,0,2,3,32,0.2727272727272727,0.5
2,Kathryn Westbeld,4,7,4,6,0,1,2,2,3,8,6,1,1,2,1,10,0.2857142857142857,3.0
3,Marina Mabrey,5,11,1,2,4,9,0,0,0,2,0,1,0,3,2,14,0.0,0.0
4,Erin Boley,5,10,1,4,4,6,0,0,4,5,1,0,0,0,4,14,0.0,0.0
9,School Totals,34,65,22,41,12,24,19,20,7,28,23,4,1,11,14,99,0.2923076923076923,2.090909090909091
