,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cierra Dillard,6,13,5,5,1,8,9,10,2,5,5,3,0,1,0,22,0.6923076923076923,5.0
1,Summer Hemphill,6,8,6,8,0,0,5,6,6,5,2,2,2,4,2,17,0.625,0.5
2,Katherine Ups,3,8,0,2,3,6,2,2,0,1,1,2,0,2,4,11,0.25,0.5
3,Stephanie Reid,6,12,6,11,0,1,6,6,0,2,2,0,0,7,3,18,0.5,0.2857142857142857
4,Cassie Oursler,5,7,5,7,0,0,2,2,3,4,0,0,1,1,5,12,0.2857142857142857,0.0
9,School Totals,27,57,22,36,5,21,27,30,14,20,10,10,3,16,18,86,0.47368421052631576,0.625
