,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ward,1,5,0,1,1,4,0,1,0,3,9,1,0,6,3,3,0.0,1.5
1,Angel Gray,1,1,1,1,0,0,2,2,1,0,3,2,0,4,4,4,2.0,0.75
2,Jacinta Monroe,7,12,7,12,0,0,2,2,3,0,0,0,4,1,3,16,0.16666666666666666,0.0
3,Alysha Harvin,6,13,3,6,3,7,0,0,2,3,3,2,0,3,3,15,0.0,1.0
4,Chasity Clayton,4,10,4,10,0,0,2,2,0,5,0,0,1,4,1,10,0.2,0.0
9,School Totals,25,58,19,42,6,16,10,12,11,20,17,7,6,21,20,66,0.1724137931034483,0.8095238095238095
