,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nadirah McKenith,5,7,5,7,0,0,5,6,3,3,6,0,0,6,3,15,0.7142857142857143,1.0
1,Da'Shena Stevens,5,14,5,14,0,0,4,8,4,6,2,0,1,1,1,14,0.2857142857142857,2.0
2,Shenneika Smith,4,16,4,16,0,0,2,2,4,2,1,3,1,2,0,10,0.125,0.5
3,Joy McCorvey,4,5,4,5,0,0,5,6,1,1,0,2,0,3,3,13,1.0,0.0
4,Sky Lindsay,2,4,2,4,0,0,0,0,1,2,1,0,0,1,0,4,0.0,1.0
8,School Totals,24,62,24,58,0,4,17,24,16,16,11,7,2,16,14,65,0.27419354838709675,0.6875
