,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bria Holmes,7,13,5,9,2,4,5,7,1,2,3,0,1,5,2,21,0.38461538461538464,0.6
1,Arielle Roberson,1,3,1,3,0,0,0,0,6,1,1,0,1,5,2,2,0.0,0.2
2,Lanay Montgomery,2,4,2,4,0,0,0,0,1,9,0,0,5,2,4,4,0.0,0.0
3,Chania Ray,2,7,1,3,1,4,3,3,0,0,3,0,0,6,3,8,0.42857142857142855,0.5
4,Katrina Pardee,0,3,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0.0,0.0
9,School Totals,31,65,22,43,9,22,10,13,11,31,13,1,11,27,22,81,0.15384615384615385,0.48148148148148145
