,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anriel Howard,6,12,6,9,0,3,9,9,4,10,3,1,3,3,4,21,0.75,1.0
1,Andra Espinoza-Hunter,3,8,0,2,3,6,0,0,0,1,3,0,0,2,1,9,0.0,1.5
2,Teaira McCowan,14,17,14,17,0,0,2,6,4,7,1,2,6,3,3,30,0.11764705882352941,0.3333333333333333
3,Jazzmun Holmes,2,8,2,8,0,0,2,2,1,3,7,4,0,4,2,6,0.25,1.75
4,Jordan Danberry,8,14,8,14,0,0,2,4,0,5,3,3,2,4,1,18,0.14285714285714285,0.75
10,School Totals,33,62,30,51,3,11,16,23,10,27,17,10,11,17,12,85,0.25806451612903225,1.0
