,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Khaalidah Miller,0,7,0,3,0,4,0,0,0,0,4,0,0,0,1,0,0.0,0.0
1,Krista Donald,4,8,3,6,1,2,1,2,4,6,2,2,0,2,4,10,0.125,1.0
2,Merritt Hempe,6,15,6,15,0,0,1,3,2,3,1,1,0,3,3,13,0.06666666666666667,0.3333333333333333
3,Erika Ford,6,11,2,5,4,6,0,0,2,2,1,0,0,2,4,16,0.0,0.5
4,Shacobia Barbee,4,11,4,9,0,2,1,2,4,2,2,1,0,2,1,9,0.09090909090909091,1.0
8,School Totals,22,65,16,48,6,17,7,12,15,19,13,7,1,11,16,57,0.1076923076923077,1.1818181818181819
