,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond DeShields,8,21,6,12,2,9,2,4,4,6,5,1,1,5,3,20,0.09523809523809523,1.0
1,Jaime Nared,4,14,3,10,1,4,5,7,4,5,6,0,1,4,1,14,0.35714285714285715,1.5
2,Bashaara Graves,3,8,3,8,0,0,5,6,2,3,1,1,0,2,4,11,0.625,0.5
3,Mercedes Russell,3,5,3,5,0,0,1,2,4,3,0,0,0,1,1,7,0.2,0.0
4,Te'a Cooper,3,4,1,1,2,3,0,0,2,1,0,1,0,5,4,8,0.0,0.0
10,School Totals,24,61,18,39,6,22,13,19,19,21,15,4,3,21,17,67,0.21311475409836064,0.7142857142857143
