,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Peterson,11,20,8,16,3,4,4,6,2,2,6,3,0,2,1,29,0.2,3.0
1,Brianna Butler,6,18,0,3,6,15,0,0,2,3,2,0,0,0,4,18,0.0,0.0
2,Brittney Sykes,2,9,1,6,1,3,4,4,2,3,2,1,0,2,2,9,0.4444444444444444,1.0
3,Briana Day,2,4,2,4,0,0,2,4,3,5,0,2,2,1,3,6,0.5,0.0
4,Isabella Slim,1,1,1,1,0,0,0,0,1,1,1,0,0,0,3,2,0.0,0.0
12,School Totals,32,69,18,39,14,30,11,17,14,18,13,13,3,7,19,89,0.15942028985507245,1.8571428571428572
