,Akron ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kacie Cassell,3,8,3,6,0,2,1,2,0,2,11,1,0,3,1,7,0.125,3.6666666666666665
1,Hanna Luburgh,3,19,2,11,1,8,2,2,3,5,1,3,0,4,0,9,0.10526315789473684,0.25
2,Rachel Tecca,7,15,7,15,0,0,4,6,1,1,1,3,1,1,1,18,0.26666666666666666,1.0
3,Hannah Plybon,1,4,1,2,0,2,2,2,0,0,0,1,0,0,0,4,0.5,0.0
4,DiAndra Gibson,1,3,1,2,0,1,0,0,2,2,0,0,1,0,2,2,0.0,0.0
11,School Totals,20,64,17,46,3,18,12,16,10,14,14,10,3,12,10,55,0.1875,1.1666666666666667
