,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Moses,5,12,3,5,2,7,0,0,0,4,2,0,1,2,2,12,0.0,1.0
1,Dee Dee Williams,5,8,4,5,1,3,0,0,1,3,5,0,3,1,0,11,0.0,5.0
2,April Wilson,5,11,3,5,2,6,0,0,1,3,9,1,0,5,2,12,0.0,1.8
3,Camille Redmon,4,8,4,8,0,0,0,0,5,4,1,1,1,2,5,8,0.0,0.5
4,Liza Clemons,3,4,3,4,0,0,1,1,1,3,2,0,0,0,0,7,0.25,0.0
11,School Totals,36,67,28,47,8,20,4,6,14,31,27,5,6,17,15,84,0.05970149253731343,1.588235294117647
