,Saint Joseph's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erin Shields,4,12,0,1,4,11,0,0,0,2,2,0,0,2,1,12,0.0,1.0
1,Sarah Fairbanks,5,15,5,15,0,0,2,2,3,2,1,0,1,0,4,12,0.13333333333333333,0.0
2,Natasha Cloud,5,15,5,13,0,2,0,0,2,1,6,1,1,0,2,10,0.0,0.0
3,Ciara Andrews,2,9,2,8,0,1,0,0,0,0,1,2,0,2,1,4,0.0,0.5
4,Ashley Robinson,1,1,1,1,0,0,0,0,2,3,0,0,2,0,4,2,0.0,0.0
11,School Totals,22,63,16,47,6,16,2,2,9,9,12,3,4,6,14,52,0.031746031746031744,2.0
