,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelly Krei,4,8,1,3,3,5,3,4,1,2,0,1,1,0,2,14,0.375,0.0
1,Samantha Logic,5,11,5,10,0,1,1,1,0,5,11,3,0,4,3,11,0.09090909090909091,2.75
2,Kamille Wahlin,7,14,6,10,1,4,0,0,0,0,4,1,0,5,4,15,0.0,0.8
3,Morgan Johnson,6,9,6,9,0,0,2,2,1,5,0,0,2,2,5,14,0.2222222222222222,0.0
4,Melissa Dixon,0,7,0,4,0,3,0,0,0,2,0,1,0,4,3,0,0.0,0.0
9,School Totals,30,59,25,45,5,14,9,10,3,19,18,9,4,18,21,74,0.15254237288135594,1.0
