,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabrielle Rush,8,14,2,3,6,11,0,0,0,1,4,0,0,3,2,22,0.0,1.3333333333333333
1,Carlie Littlefield,4,7,3,5,1,2,1,3,0,4,3,2,0,2,3,10,0.14285714285714285,1.5
2,Grace Stone,2,3,2,3,0,0,2,2,1,4,4,1,0,2,5,6,0.6666666666666666,2.0
3,Bella Alarie,8,24,8,20,0,4,4,5,6,9,5,1,1,4,3,20,0.16666666666666666,1.25
4,Sydney Jordan,7,11,7,11,0,0,3,3,4,1,1,1,1,2,5,17,0.2727272727272727,0.5
7,School Totals,30,64,23,45,7,19,10,13,14,21,18,5,2,15,20,77,0.15625,1.2
