,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cierra Dillard,9,22,5,11,4,11,7,11,1,2,6,6,0,3,1,29,0.3181818181818182,2.0
1,Cassie Oursler,4,10,4,10,0,0,0,0,0,4,1,2,2,3,4,8,0.0,0.3333333333333333
2,Stephanie Reid,3,11,2,8,1,3,1,2,3,0,5,0,0,5,2,8,0.09090909090909091,1.0
3,Katherine Ups,0,2,0,1,0,1,0,0,0,1,1,2,0,1,2,0,0.0,1.0
4,Summer Hemphill,3,9,3,9,0,0,0,0,1,2,2,5,0,1,5,6,0.0,2.0
9,School Totals,24,68,17,44,7,24,8,13,6,9,15,15,2,13,19,63,0.11764705882352941,1.1538461538461537
