,Vanderbilt ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Merideth Marsh,7,14,4,6,3,8,9,11,2,3,1,1,0,3,2,26,0.6428571428571429,0.3333333333333333
1,Jence Rhoads,5,11,5,11,0,0,5,6,0,6,3,3,1,5,0,15,0.45454545454545453,0.6
2,Hannah Tuomi,7,7,7,7,0,0,3,6,4,8,6,1,0,2,3,17,0.42857142857142855,3.0
3,Tiffany Clarke,1,4,1,4,0,0,0,2,0,2,0,0,0,1,2,2,0.0,0.0
4,Gabby Smith,0,3,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0
9,School Totals,28,63,23,41,5,22,22,33,11,28,21,9,2,16,17,83,0.3492063492063492,1.3125
