,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Felicia Chester,8,13,8,13,0,0,3,4,3,4,3,0,1,2,4,19,0.23076923076923078,1.5
1,Anna Martin,10,19,8,14,2,5,2,2,2,3,5,0,0,3,4,24,0.10526315789473684,1.6666666666666667
2,Keisha Hampton,6,18,3,12,3,6,1,3,5,3,3,2,3,3,5,16,0.05555555555555555,1.0
3,Katherine Harry,0,6,0,6,0,0,1,2,2,2,1,2,1,2,4,1,0.16666666666666666,0.5
4,Sam Quigley,6,14,4,9,2,5,0,0,0,3,1,2,0,2,5,14,0.0,0.5
8,School Totals,31,76,24,57,7,19,7,11,14,22,18,8,5,16,25,76,0.09210526315789473,1.125
