,UC Davis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paige Mintun,8,15,7,14,1,1,0,0,1,6,2,1,0,2,3,17,0.0,1.0
1,Kasey Riecks,3,8,2,4,1,4,0,0,0,1,1,0,0,2,2,7,0.0,0.5
2,Samantha Meggison,2,3,2,3,0,0,2,2,0,3,1,0,0,2,4,6,0.6666666666666666,0.5
3,Hana Asano,2,5,2,5,0,0,0,0,0,0,1,1,0,2,0,4,0.0,0.5
4,Heidi Heintz,3,4,2,3,1,1,4,4,0,2,3,0,0,2,3,11,1.0,1.5
12,School Totals,22,47,16,33,6,14,9,12,2,17,13,3,0,15,14,59,0.19148936170212766,0.8666666666666667
