,Central Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maggie Proffitt,7,19,7,17,0,2,3,5,0,0,0,3,0,1,2,17,0.15789473684210525,0.0
1,Taylor Baudoin,6,11,4,8,2,3,0,0,2,5,0,0,0,1,0,14,0.0,0.0
2,Brianna Mullins,1,7,0,4,1,3,2,2,0,2,1,0,0,2,4,5,0.2857142857142857,0.5
3,Raquel Logan,0,5,0,5,0,0,0,0,3,0,0,3,0,0,1,0,0.0,0.0
4,Taylor Sells,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0
11,School Totals,20,63,17,55,3,8,7,10,8,12,4,7,0,10,15,50,0.1111111111111111,0.4
