,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,4,6,1,2,3,4,4,4,0,5,3,0,0,2,1,15,0.6666666666666666,1.5
1,Joyner Holmes,6,13,6,13,0,0,0,2,3,6,4,1,2,2,1,12,0.0,2.0
2,Kelsey Lang,5,8,5,8,0,0,0,0,2,3,1,0,2,0,1,10,0.0,0.0
3,Ariel Atkins,2,7,1,5,1,2,1,2,2,3,2,2,2,1,4,6,0.14285714285714285,2.0
4,Brianna Taylor,1,1,1,1,0,0,3,3,2,0,0,0,0,4,2,5,3.0,0.0
11,School Totals,31,60,27,52,4,8,12,18,20,30,13,4,11,21,18,78,0.2,0.6190476190476191
