,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsay Allen,10,16,10,15,0,1,3,4,1,4,7,4,0,0,3,23,0.1875,0.0
1,Jewell Loyd,5,18,5,17,0,1,3,7,2,5,4,1,0,4,1,13,0.16666666666666666,1.0
2,Brianna Turner,4,9,4,9,0,0,4,7,4,6,2,1,2,1,1,12,0.4444444444444444,2.0
3,Taya Reimer,4,10,4,10,0,0,1,4,2,6,2,0,2,2,3,9,0.1,1.0
4,Michaela Mabrey,5,6,1,2,4,4,0,0,0,0,0,0,1,3,1,14,0.0,0.0
8,School Totals,30,63,25,56,5,7,12,24,12,25,16,6,7,11,12,77,0.19047619047619047,1.4545454545454546
