,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Moriah Jefferson,10,12,7,8,3,4,2,2,3,1,6,3,0,2,1,25,0.16666666666666666,3.0
1,Breanna Stewart,11,16,9,13,2,3,7,8,3,9,7,2,3,1,2,31,0.4375,7.0
2,Kia Nurse,4,9,1,1,3,8,2,2,0,0,1,2,0,0,3,13,0.2222222222222222,0.0
3,Morgan Tuck,6,11,4,7,2,4,0,0,0,5,2,1,0,1,1,14,0.0,2.0
4,Kaleena Mosqueda-Lewis,3,9,1,2,2,7,2,2,0,3,2,1,2,0,3,10,0.2222222222222222,0.0
11,School Totals,39,70,26,39,13,31,14,15,12,28,22,13,10,6,14,105,0.2,3.6666666666666665
