,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jasmine Thomas,39,.367,.250,.389,.444,0.0,9.3,4.0,9.4,1.5,0.0,4.4,27.6,90,85
1,Joy Cheek,33,.320,.250,.300,.200,5.5,14.7,9.4,9.6,7.2,0.0,26.9,21.5,59,70
2,Keturah Jackson,27,.188,.188,.250,.000,10.1,9.0,9.6,11.0,0.0,0.0,0.0,14.1,64,88
3,Krystal Thomas,26,.252,.286,.000,.286,3.5,18.6,10.0,25.8,0.0,3.8,0.0,14.5,71,81
4,Bridgette Mitchell,21,.375,.375,.000,.000,13.0,11.5,12.4,20.5,0.0,0.0,11.1,20.5,85,86
6,Karima Christmas,29,.391,.222,.333,.889,18.8,25.1,21.5,0.0,0.0,6.7,7.4,22.3,98,78
7,Allison Vernerey,15,.500,.500,.000,.000,6.1,32.3,17.3,21.6,0.0,6.5,60.0,15.9,46,74
8,Shay Selby,10,.000,.000,.667,.000,0.0,0.0,0.0,0.0,5.9,0.0,0.0,14.3,0,79
9,School Totals,200,.322,.254,.262,.308,36.4,75.8,53.2,46.7,8.8,9.8,11.8,100.0,70.6,75.0
