,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Florida State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jasmine Bendolph,40,.464,.278,.556,.667,5.3,9.1,7.0,21.1,1.3,0.0,20.5,16.7,98,107
1,Shanavia Dowdell,33,.787,.786,.143,.571,12.8,29.4,20.5,15.8,0.0,2.5,10.2,27.0,146,98
2,Adrienne Johnson,33,.400,.400,.000,.000,6.4,3.7,5.1,22.5,3.2,7.6,23.1,18.0,77,103
3,Whitney Jones,31,.210,.100,.600,.400,3.4,0.0,1.8,13.1,1.7,0.0,7.8,18.8,61,111
4,Tarkeisha Wysinger-Mackey,26,.225,.143,.286,.571,12.1,14.0,13.0,7.9,0.0,0.0,31.3,22.4,47,107
6,Brietta Thomas,15,.214,.214,.571,.000,0.0,16.2,7.5,14.5,0.0,0.0,12.5,24.3,52,106
7,Kiara Young,12,.000,.000,.500,.000,17.5,10.1,14.1,15.9,4.4,0.0,33.3,11.4,38,99
8,Tiawana Pringle,10,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.2,54,115
9,School Totals,200,.421,.355,.323,.355,36.8,54.5,45.1,61.9,6.6,8.3,18.1,100.0,80.3,98.7
