,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,3,14,3,4,0,10,3,3,0,4,2,0,0,6,3,9,0.21428571428571427,0.3333333333333333
1,Gabriella Hanson,2,6,1,3,1,3,4,6,0,3,2,1,1,4,2,9,0.6666666666666666,0.5
2,Breanna Brown,3,8,3,8,0,0,2,2,2,6,0,1,4,5,3,8,0.25,0.0
3,Marie Gulich,2,7,2,7,0,0,0,0,2,4,2,0,3,1,3,4,0.0,2.0
4,Mikayla Pivec,3,7,3,6,0,1,2,2,2,5,1,1,0,2,5,8,0.2857142857142857,0.5
10,School Totals,20,55,18,38,2,17,11,13,7,28,11,4,8,22,18,53,0.2,0.5
