,Lamar ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kalis Loyd,6,13,6,11,0,2,3,3,0,5,3,2,0,0,3,15,0.23076923076923078,0.0
1,Jenna Plumley,3,11,0,1,3,10,0,0,0,7,4,3,0,7,5,9,0.0,0.5714285714285714
2,Ashley Crawford,1,6,0,1,1,5,2,4,0,1,3,1,0,4,2,5,0.3333333333333333,0.75
3,Darika Hill,3,12,2,10,1,2,0,1,1,4,0,1,0,4,1,7,0.0,0.0
4,Trashanna Smith,0,1,0,1,0,0,1,2,3,5,0,0,1,4,2,1,1.0,0.0
9,School Totals,16,52,11,31,5,21,6,10,4,24,11,7,2,21,17,43,0.11538461538461539,0.5238095238095238
