,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Robbi Ryan,5,8,3,4,2,4,4,4,0,4,0,2,0,4,4,16,0.5,0.0
1,Kianna Ibis,6,16,6,13,0,3,2,3,3,5,0,0,0,0,4,14,0.125,0.0
2,Reili Richardson,2,9,1,3,1,6,5,5,1,1,4,0,0,0,0,10,0.5555555555555556,0.0
3,Courtney Ekmark,2,9,2,5,0,4,3,5,5,2,0,0,0,1,2,7,0.3333333333333333,0.0
4,Charnea Johnson-Chapman,2,5,2,5,0,0,0,0,4,6,2,2,1,1,3,4,0.0,2.0
9,School Totals,23,60,19,41,4,19,23,31,20,27,9,6,3,11,17,73,0.38333333333333336,0.8181818181818182
