,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hannah Whitish,3,10,1,2,2,8,4,4,0,2,0,0,0,0,2,12,0.4,0.0
1,Jasmine Cincore,2,5,1,3,1,2,3,6,1,2,0,1,1,3,3,8,0.6,0.0
2,Nicea Eliely,1,4,1,4,0,0,1,2,0,1,1,1,3,2,1,3,0.25,0.5
3,Kate Cain,2,3,2,3,0,0,0,2,1,2,1,0,0,0,3,4,0.0,0.0
4,Maddie Simon,0,1,0,1,0,0,0,0,0,0,2,0,1,2,4,0,0.0,1.0
12,School Totals,19,51,11,26,8,25,16,24,6,18,6,3,5,9,21,62,0.3137254901960784,0.6666666666666666
