,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destanni Henderson,3,7,2,4,1,3,2,2,0,2,7,2,0,2,0,9,0.2857142857142857,3.5
1,Brea Beal,4,6,4,5,0,1,0,0,0,5,3,0,2,1,1,8,0.0,3.0
2,Zia Cooke,6,13,1,7,5,6,0,0,0,4,2,0,0,3,2,17,0.0,0.6666666666666666
3,Victaria Saxton,6,8,6,8,0,0,0,0,4,2,0,1,1,1,1,12,0.0,0.0
4,Aliyah Boston,4,10,4,9,0,1,1,1,0,5,3,1,0,1,2,9,0.1,3.0
7,School Totals,31,55,23,41,8,14,6,6,7,22,16,5,3,11,8,76,0.10909090909090909,1.4545454545454546
