,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lotta-Maj Lahtinen,8,14,6,10,2,4,2,2,1,3,5,2,0,3,3,20,0.14285714285714285,1.6666666666666667
1,Kierra Fletcher,7,15,6,13,1,2,1,2,3,4,3,3,0,2,0,16,0.06666666666666667,1.5
2,Loyal McQueen,3,5,1,1,2,4,1,2,0,1,2,1,0,0,0,9,0.2,0.0
3,Lorela Cubaj,7,15,6,14,1,1,0,0,2,5,1,1,0,5,3,15,0.0,0.2
4,Nerea Hermosa,1,6,1,6,0,0,0,0,3,2,1,0,0,2,2,2,0.0,0.5
7,School Totals,27,59,21,47,6,12,5,7,9,16,12,7,0,12,10,65,0.0847457627118644,1.0
