,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Courtney Ward,36,.177,.188,.625,.125,0.0,11.9,5.0,39.5,0.0,0.0,37.2,17.2,40,124
1,Jacinta Monroe,28,.472,.429,.000,.286,14.7,20.4,17.1,15.2,0.0,6.0,6.0,27.6,102,118
2,Alysha Harvin,22,.388,.318,.455,.364,4.7,13.0,8.1,14.5,0.0,0.0,7.3,28.9,86,124
3,Angel Gray,21,.000,.000,.333,.000,9.8,13.6,11.4,0.0,0.0,0.0,25.0,8.8,17,123
4,Chasity Clayton,20,.333,.333,.000,.000,0.0,7.1,3.0,0.0,2.6,0.0,25.0,18.5,52,120
6,Alexa Deluzio,29,.570,.500,.500,.667,3.5,9.9,6.2,0.0,0.0,0.0,20.5,15.5,98,125
7,Christian Hunnicutt,20,.333,.333,.000,.000,5.1,7.1,6.0,12.5,2.6,0.0,40.0,11.5,51,120
8,Cierra Bravard,17,.168,.125,.000,.250,0.0,8.4,3.5,15.0,0.0,0.0,25.3,32.3,32,125
9,Chelsea Davis,7,.500,.500,.000,.000,29.3,0.0,17.1,0.0,0.0,11.9,0.0,26.4,111,122
10,School Totals,200,.357,.317,.222,.238,28.2,57.1,40.3,55.6,2.6,6.3,19.5,100.0,64.9,116.9
