,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kirsten Deans,7,10,6,7,1,3,4,4,0,8,5,3,0,3,0,19,0.4,1.6666666666666667
1,Kysre Gondrezick,9,15,3,7,6,8,2,2,0,7,5,4,0,5,1,26,0.13333333333333333,1.0
2,Esmery Martinez,7,10,7,10,0,0,2,4,3,8,3,2,0,5,3,16,0.2,0.6
3,Jayla Hemingway,1,5,0,3,1,2,0,0,0,4,0,0,0,2,1,3,0.0,0.0
4,Kari Niblack,4,8,4,8,0,0,1,1,1,1,1,0,2,0,0,9,0.125,0.0
9,School Totals,30,55,22,40,8,15,9,11,6,33,15,11,4,19,9,77,0.16363636363636364,0.7894736842105263
