,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Megan Podkowa,8,15,5,7,3,8,4,5,3,2,3,1,2,2,3,23,0.26666666666666666,1.5
1,Brittany Hrynko,3,16,3,9,0,7,4,4,0,3,6,4,0,3,3,10,0.25,2.0
2,Jessica January,1,10,1,5,0,5,0,0,2,2,5,2,0,2,4,2,0.0,2.5
3,Chanise Jenkins,6,12,3,6,3,6,1,2,2,5,1,2,0,2,3,16,0.08333333333333333,0.5
4,Centrese McGee,2,3,2,2,0,1,0,0,1,1,2,2,0,0,2,4,0.0,0.0
8,School Totals,29,72,21,38,8,34,13,15,11,15,20,14,2,11,16,79,0.18055555555555555,1.8181818181818181
