,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jantel Lavender,40,.415,.400,.000,.050,11.1,19.2,15.1,5.9,0.0,2.6,8.9,27.4,96,129
1,Samantha Prahalis,36,.541,.542,.333,.167,4.1,17.1,10.5,34.3,0.0,0.0,43.7,31.0,76,130
2,Tayler Hill,36,.507,.375,.125,.750,4.1,8.5,6.3,25.6,0.0,2.8,32.0,21.2,96,131
3,Sarah Schulze,32,1.200,1.200,1.000,.000,9.3,19.2,14.2,6.3,1.8,12.8,16.7,9.2,179,116
4,Brittany Johnson,26,.688,.688,.625,.000,11.4,11.8,11.6,16.3,2.2,0.0,33.3,22.5,98,127
6,Shavelle Little,10,,,,,14.8,0.0,7.5,32.0,0.0,0.0,,0.0,239,135
7,Amber Stokes,8,,,,,0.0,0.0,0.0,0.0,7.1,0.0,,0.0,,117
8,Andrea Walker,5,1.000,1.000,.000,.000,29.6,30.8,30.2,0.0,0.0,0.0,50.0,19.5,81,126
9,Maria Moeller,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,135
10,Alison Jackson,3,,,,,0.0,51.3,25.2,0.0,0.0,0.0,100.0,16.3,0,121
11,School Totals,200,.575,.556,.278,.167,40.7,73.1,56.6,68.0,4.2,15.4,29.2,100.0,94.4,122.5
