,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Gradinjan,3,12,0,1,3,11,0,0,0,3,1,1,0,2,3,9,0.0,0.5
1,Jordin Alexander,5,12,5,11,0,1,1,2,1,4,5,1,0,4,4,11,0.08333333333333333,1.25
2,Rosemarie Julien,4,7,2,2,2,5,0,0,1,4,2,0,0,1,5,10,0.0,2.0
3,Erica Nelson,1,6,1,2,0,4,0,0,1,0,0,0,0,0,2,2,0.0,0.0
4,Tytionia Adderly,2,3,2,3,0,0,0,0,2,3,0,1,0,2,3,4,0.0,0.0
9,School Totals,24,64,15,30,9,34,3,6,6,17,14,6,1,11,21,60,0.046875,1.2727272727272727
