,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Peterson,6,16,4,9,2,7,4,5,1,2,6,2,0,4,1,18,0.25,1.5
1,Brittney Sykes,6,15,4,11,2,4,3,4,2,2,1,1,0,1,2,17,0.2,1.0
2,Brianna Butler,4,13,0,0,4,13,0,0,1,5,4,1,1,1,1,12,0.0,4.0
3,Briana Day,3,4,3,4,0,0,1,2,4,11,1,1,0,1,3,7,0.25,1.0
4,Isabella Slim,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,3,0.0,0.0
9,School Totals,30,71,18,38,12,33,8,11,15,29,17,11,4,9,12,80,0.11267605633802817,1.8888888888888888
