,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,12,21,6,12,6,9,8,10,1,2,11,1,0,1,3,38,0.38095238095238093,11.0
1,Natalie Romeo,7,11,1,1,6,10,0,2,1,0,0,0,0,0,1,20,0.0,0.0
2,Chantel Osahor,6,14,5,11,1,3,3,7,3,12,7,2,2,2,3,16,0.21428571428571427,3.5
3,Katie Collier,3,4,3,4,0,0,2,2,2,3,1,0,2,0,3,8,0.5,0.0
4,Aari McDonald,5,6,2,3,3,3,5,7,1,1,1,1,0,1,4,18,0.8333333333333334,1.0
12,School Totals,36,63,18,33,18,30,18,28,9,23,20,4,6,7,16,108,0.2857142857142857,2.857142857142857
