,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Joens,13,28,9,20,4,8,6,12,5,10,0,0,0,1,0,36,0.21428571428571427,0.0
1,Emily Ryan,7,14,5,10,2,4,4,7,0,3,6,1,0,3,1,20,0.2857142857142857,2.0
2,Lexi Donarski,5,13,4,9,1,4,3,3,1,3,0,1,2,0,2,14,0.23076923076923078,0.0
3,Nyamer Diew,2,4,2,4,0,0,2,4,1,3,0,0,3,0,4,6,0.5,0.0
4,Morgan Kane,1,1,1,1,0,0,0,0,2,2,0,0,0,1,2,2,0.0,0.0
8,School Totals,28,65,21,45,7,20,15,26,11,27,6,2,6,7,14,78,0.23076923076923078,0.8571428571428571
