,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Grace Berger,7,14,7,14,0,0,1,2,0,7,1,0,0,6,2,15,0.07142857142857142,0.16666666666666666
1,Aleksa Gulbe,1,7,1,4,0,3,3,4,0,7,1,0,0,5,1,5,0.42857142857142855,0.2
2,Nicole Cardano-Hillary,4,7,3,5,1,2,3,4,0,2,4,1,0,0,3,12,0.42857142857142855,0.0
3,MacKenzie Holmes,5,6,5,6,0,0,0,0,1,7,2,1,4,2,2,10,0.0,1.0
4,Ali Patberg,2,4,1,1,1,3,1,1,0,1,3,1,1,2,2,6,0.25,1.5
7,School Totals,22,43,18,31,4,12,8,11,1,27,11,5,5,16,13,56,0.18604651162790697,0.6875
