,Hartford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jackie Smith,1,4,0,0,1,4,0,0,0,1,3,1,0,1,3,3,0.0,3.0
1,Alex Hall,4,9,2,4,2,5,0,0,0,0,1,1,0,1,1,10,0.0,1.0
2,Nikkia Smith,3,7,3,7,0,0,0,0,0,2,0,1,0,2,3,6,0.0,0.0
3,Ruthanne Doherty,3,11,3,11,0,0,1,2,1,2,0,0,0,2,4,7,0.09090909090909091,0.0
4,Daphne Elliott,0,4,0,1,0,3,0,0,0,1,0,2,0,1,0,0,0.0,0.0
11,School Totals,17,54,14,36,3,18,2,4,4,16,9,7,0,11,14,39,0.037037037037037035,0.8181818181818182
