,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Stephanie Reid,7,16,6,14,1,2,4,4,3,1,8,2,0,3,3,19,0.25,2.6666666666666665
1,Cierra Dillard,11,18,4,5,7,13,7,8,1,5,2,1,0,3,0,36,0.3888888888888889,0.6666666666666666
2,Katherine Ups,2,3,1,1,1,2,3,3,5,2,5,1,0,1,2,8,1.0,5.0
3,Summer Hemphill,2,3,2,3,0,0,4,4,0,5,1,1,2,2,4,8,1.3333333333333333,0.5
4,Cassie Oursler,3,8,3,8,0,0,0,0,0,3,0,0,1,2,2,6,0.0,0.0
11,School Totals,33,62,19,35,14,27,22,24,11,19,17,6,4,12,13,102,0.3548387096774194,1.4166666666666667
