,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Laura Ferreira,1,4,1,1,0,3,1,2,0,1,3,2,0,3,4,3,0.25,1.0
1,Kitija Laksa,11,23,6,11,5,12,1,1,0,2,2,0,0,3,5,28,0.043478260869565216,0.6666666666666666
2,Maria Jespersen,8,16,7,12,1,4,6,6,5,6,1,0,0,2,4,23,0.375,0.5
3,Laia Flores,4,9,3,6,1,3,0,0,0,3,3,2,0,4,3,9,0.0,0.75
4,Alyssa Rader,1,2,1,2,0,0,0,0,1,1,0,0,0,2,0,2,0.0,0.0
9,School Totals,32,63,25,40,7,23,8,9,10,17,11,4,0,16,21,79,0.12698412698412698,0.6875
