,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tia Gibbs,7,13,5,9,2,4,0,0,2,2,5,3,0,4,4,16,0.0,1.25
1,Shoni Schimmel,8,23,6,13,2,10,0,1,1,3,3,3,0,2,3,18,0.0,1.5
2,Keshia Hines,8,14,8,14,0,0,1,2,3,3,0,1,0,1,5,17,0.07142857142857142,0.0
3,Asia Taylor,3,7,3,7,0,0,4,6,6,6,1,1,1,4,4,10,0.5714285714285714,0.25
4,Monique Reid,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
10,School Totals,30,67,26,51,4,16,5,9,13,20,13,8,1,18,19,69,0.07462686567164178,0.7222222222222222
