,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tanisha Smith,40,.656,.708,.167,.167,2.6,5.7,4.1,9.1,3.9,2.1,35.2,21.9,82,100
1,Adaora Elonu,34,.293,.273,.000,.182,12.1,33.6,22.3,22.2,0.0,5.0,7.8,16.7,90,97
2,Tyra White,31,.611,.611,.333,.000,0.0,14.7,7.0,0.0,6.8,5.5,25.0,17.1,88,88
3,Sydney Carter,25,.318,.318,.273,.000,0.0,9.1,4.3,12.7,2.1,3.4,8.3,21.2,75,102
4,Damitria Buchanan,14,.000,.000,.000,.000,22.0,16.3,19.3,0.0,3.7,0.0,0.0,3.2,102,98
6,Danielle Adams,31,.548,.571,.000,.500,16.5,18.4,17.4,13.1,3.4,5.5,0.0,24.3,128,94
7,Sydney Colson,24,.505,.375,.250,.500,0.0,0.0,0.0,33.3,8.7,0.0,33.9,27.2,84,92
8,Kelsey Assarian,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.2,0,110
9,School Totals,200,.485,.477,.152,.227,33.3,71.4,51.4,53.3,19.7,17.0,19.8,100.0,93.4,94.7
