,Liberty ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lela Sellers,5,11,3,7,2,4,1,2,4,1,3,0,0,4,3,13,0.09090909090909091,0.75
1,Ashtyn Baker,2,10,1,7,1,3,0,2,1,1,3,1,0,1,4,5,0.0,3.0
2,KK Barbour,3,5,1,3,2,2,2,2,0,3,0,1,0,2,3,10,0.4,0.0
3,Keyen Green,4,4,4,4,0,0,2,3,0,2,0,1,0,0,4,10,0.5,0.0
4,Tatyana Crowder,1,2,1,2,0,0,1,1,0,0,0,0,0,5,3,3,0.5,0.0
13,School Totals,23,66,17,45,6,21,8,13,8,17,12,6,0,20,27,60,0.12121212121212122,0.6
