,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Odyssey Sims,3,6,2,4,1,2,6,8,0,2,4,1,0,7,1,13,1.0,0.5714285714285714
1,Melissa Jones,3,6,3,5,0,1,7,8,1,5,3,0,0,1,1,13,1.1666666666666667,3.0
2,Destiny Williams,5,5,5,5,0,0,0,0,2,7,0,0,1,1,2,10,0.0,0.0
3,Brittney Griner,9,17,9,17,0,0,12,15,1,3,4,0,8,3,3,30,0.7058823529411765,1.3333333333333333
4,Jordan Madden,1,2,0,0,1,2,0,0,1,3,1,0,0,0,3,3,0.0,0.0
9,School Totals,25,49,21,40,4,9,28,35,8,28,12,3,10,15,16,82,0.5714285714285714,0.8
