,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,West Virginia ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jene Morris,40,.758,.679,.143,.571,0.0,3.2,1.7,7.1,0.0,0.0,14.6,26.7,138,92
1,Quenese Davis,40,.640,.625,.250,.500,10.3,16.1,13.3,23.5,1.5,0.0,29.1,26.9,103,85
2,Coco Davis,33,.400,.400,.400,.000,4.2,15.6,10.1,17.7,1.8,3.2,44.4,14.2,63,81
3,Jessika Bradley,31,.143,.143,.000,.000,13.3,20.8,17.2,17.8,0.0,0.0,12.5,13.4,68,85
4,Paris Johnson,26,.432,.500,.000,.333,0.0,24.8,12.8,0.0,2.3,4.0,12.7,15.8,78,77
6,Allison Duffy,17,.250,.250,.125,.000,24.3,7.6,15.7,12.9,0.0,0.0,11.1,27.6,73,88
7,Kalena Tutt,8,.526,,,,0.0,0.0,0.0,0.0,14.9,0.0,0.0,11.5,123,61
8,Kim Spinardi,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,93
9,Ashley Duffy,2,,,,,0.0,64.5,33.3,0.0,29.9,0.0,,0.0,,10
10,School Totals,200,.520,.481,.154,.385,34.5,71.0,53.3,52.2,9.0,5.3,20.6,100.0,95.5,82.1
