,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Sarah Miles,40,.538,.538,.077,.154,0.0,3.4,1.7,15.4,1.5,0.0,6.7,19.9,115,103
1,Liz Repella,38,.450,.441,.235,.235,10.2,32.7,21.1,0.0,1.6,2.4,17.6,32.1,86,91
2,Asya Bussie,35,.449,.500,.000,2.000,7.4,7.9,7.6,6.5,3.4,0.0,11.7,13.0,98,97
3,Korinne Campbell,35,.365,.000,.500,1.500,7.4,11.8,9.5,0.0,0.0,2.6,37.6,16.3,59,102
4,Madina Ali,19,.333,.333,.000,.000,6.8,21.8,14.0,0.0,9.4,0.0,66.7,25.4,26,79
6,Vanessa House,25,.647,.583,.333,.333,0.0,0.0,0.0,0.0,0.0,0.0,22.5,19.0,108,108
7,Natalie Burton,5,,,,,25.8,27.6,26.7,0.0,0.0,0.0,,0.0,201,98
8,Akeema Richards,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107
9,School Totals,200,.479,.447,.191,.468,29.0,65.5,46.7,15.0,10.4,4.5,23.9,100.0,82.1,95.5
