,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erica McCall,5,9,4,6,1,3,3,4,0,10,1,0,2,0,2,14,0.3333333333333333,0.0
1,Karlie Samuelson,3,6,1,2,2,4,3,4,4,2,2,1,1,1,1,11,0.5,2.0
2,Lili Thompson,6,10,4,6,2,4,3,3,0,0,2,1,0,0,3,17,0.3,0.0
3,Kaylee Johnson,6,8,6,8,0,0,1,2,2,7,3,0,1,5,3,13,0.125,0.6
4,Briana Roberson,1,6,0,4,1,2,0,0,1,1,0,0,0,1,2,3,0.0,0.0
13,School Totals,31,60,23,41,8,19,15,19,13,33,20,4,7,17,21,85,0.25,1.1764705882352942
