,Drexel ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hannah Nihill,10,22,8,15,2,7,0,0,1,1,3,2,0,1,3,22,0.0,3.0
1,Hetta Saatman,4,11,4,8,0,3,0,0,3,4,2,2,2,2,0,8,0.0,1.0
2,Keishana Washington,2,12,1,7,1,5,2,2,0,4,5,2,0,3,4,7,0.16666666666666666,1.6666666666666667
3,Kate Connolly,0,3,0,2,0,1,0,0,1,2,1,1,0,1,3,0,0.0,1.0
4,Mariah Leonard,3,8,3,8,0,0,0,0,6,2,0,0,0,0,2,6,0.0,0.0
9,School Totals,24,66,21,48,3,18,2,2,14,16,13,10,2,11,17,53,0.030303030303030304,1.1818181818181819
